100

 5   5   4   4   2   2   2   1   1   1   0   1   5   5   5   4   4   4   3   3   3   3   3   3   2   2   7   7   6   6   6   6   5   5   4   4   4   4   3   3   2   2   2   3   3   8   8   7   6   5   5   4   4   3   3   3   3   4   4   9   9   6   6   6   6   6   5   5   5  10  10   9   9   8   8   8   8   6   5   5   5   6  11  11  11  10  10  10   9   9   8   8   8   8   6   6   6   7   7   7  
 6   6   5   5   3   3   3   2   2   2   1   0   6   6   6   5   5   5   4   4   4   4   4   4   1   1   8   8   7   7   7   7   6   6   5   5   5   5   4   4   3   3   3   2   2   9   9   8   7   6   6   5   5   4   4   4   4   3   3  10  10   7   7   7   7   7   6   4   4  11  11  10  10   9   9   9   9   7   6   6   6   5  12  12  12  11  11  11  10  10   9   9   9   9   7   7   7   6   6   6  
 2   2   1   1   3   3   3   4   4   4   5   6   0   0   0   1   1   1   2   2   2   2   2   2   5   5   2   2   1   1   1   1   2   2   3   3   3   3   4   4   5   5   5   6   6   3   3   2   3   4   4   5   5   6   6   6   6   7   7   4   4   5   5   5   5   5   6   8   8   5   5   4   4   5   5   5   5   7   8   8   8   9   6   6   6   5   5   5   6   6   7   7   7   7   9   9   9  10  10  10  
 2   2   1   1   3   3   3   4   4   4   5   6   0   0   0   1   1   1   2   2   2   2   2   2   5   5   2   2   1   1   1   1   2   2   3   3   3   3   4   4   5   5   5   6   6   3   3   2   3   4   4   5   5   6   6   6   6   7   7   4   4   5   5   5   5   5   6   8   8   5   5   4   4   5   5   5   5   7   8   8   8   9   6   6   6   5   5   5   6   6   7   7   7   7   9   9   9  10  10  10  
 2   2   1   1   3   3   3   4   4   4   5   6   0   0   0   1   1   1   2   2   2   2   2   2   5   5   2   2   1   1   1   1   2   2   3   3   3   3   4   4   5   5   5   6   6   3   3   2   3   4   4   5   5   6   6   6   6   7   7   4   4   5   5   5   5   5   6   8   8   5   5   4   4   5   5   5   5   7   8   8   8   9   6   6   6   5   5   5   6   6   7   7   7   7   9   9   9  10  10  10  
 3   3   2   2   2   2   2   3   3   3   4   5   1   1   1   0   0   0   1   1   1   1   1   1   4   4   3   3   2   2   2   2   1   1   2   2   2   2   3   3   4   4   4   5   5   4   4   3   2   3   3   4   4   5   5   5   5   6   6   5   5   4   4   4   4   4   5   7   7   6   6   5   5   4   4   4   4   6   7   7   7   8   7   7   7   6   6   6   5   5   6   6   6   6   8   8   8   9   9   9  
 3   3   2   2   2   2   2   3   3   3   4   5   1   1   1   0   0   0   1   1   1   1   1   1   4   4   3   3   2   2   2   2   1   1   2   2   2   2   3   3   4   4   4   5   5   4   4   3   2   3   3   4   4   5   5   5   5   6   6   5   5   4   4   4   4   4   5   7   7   6   6   5   5   4   4   4   4   6   7   7   7   8   7   7   7   6   6   6   5   5   6   6   6   6   8   8   8   9   9   9  
 3   3   2   2   2   2   2   3   3   3   4   5   1   1   1   0   0   0   1   1   1   1   1   1   4   4   3   3   2   2   2   2   1   1   2   2   2   2   3   3   4   4   4   5   5   4   4   3   2   3   3   4   4   5   5   5   5   6   6   5   5   4   4   4   4   4   5   7   7   6   6   5   5   4   4   4   4   6   7   7   7   8   7   7   7   6   6   6   5   5   6   6   6   6   8   8   8   9   9   9  
 4   4   3   3   1   1   1   2   2   2   3   4   2   2   2   1   1   1   0   0   0   0   0   0   3   3   4   4   3   3   3   3   2   2   1   1   1   1   2   2   3   3   3   4   4   5   5   4   3   2   2   3   3   4   4   4   4   5   5   6   6   3   3   3   3   3   4   6   6   7   7   6   6   5   5   5   5   5   6   6   6   7   8   8   8   7   7   7   6   6   5   5   5   5   7   7   7   8   8   8  
 4   4   3   3   1   1   1   2   2   2   3   4   2   2   2   1   1   1   0   0   0   0   0   0   3   3   4   4   3   3   3   3   2   2   1   1   1   1   2   2   3   3   3   4   4   5   5   4   3   2   2   3   3   4   4   4   4   5   5   6   6   3   3   3   3   3   4   6   6   7   7   6   6   5   5   5   5   5   6   6   6   7   8   8   8   7   7   7   6   6   5   5   5   5   7   7   7   8   8   8  
 4   4   3   3   1   1   1   2   2   2   3   4   2   2   2   1   1   1   0   0   0   0   0   0   3   3   4   4   3   3   3   3   2   2   1   1   1   1   2   2   3   3   3   4   4   5   5   4   3   2   2   3   3   4   4   4   4   5   5   6   6   3   3   3   3   3   4   6   6   7   7   6   6   5   5   5   5   5   6   6   6   7   8   8   8   7   7   7   6   6   5   5   5   5   7   7   7   8   8   8  
 4   4   3   3   1   1   1   2   2   2   3   4   2   2   2   1   1   1   0   0   0   0   0   0   3   3   4   4   3   3   3   3   2   2   1   1   1   1   2   2   3   3   3   4   4   5   5   4   3   2   2   3   3   4   4   4   4   5   5   6   6   3   3   3   3   3   4   6   6   7   7   6   6   5   5   5   5   5   6   6   6   7   8   8   8   7   7   7   6   6   5   5   5   5   7   7   7   8   8   8  
 4   4   3   3   1   1   1   2   2   2   3   4   2   2   2   1   1   1   0   0   0   0   0   0   3   3   4   4   3   3   3   3   2   2   1   1   1   1   2   2   3   3   3   4   4   5   5   4   3   2   2   3   3   4   4   4   4   5   5   6   6   3   3   3   3   3   4   6   6   7   7   6   6   5   5   5   5   5   6   6   6   7   8   8   8   7   7   7   6   6   5   5   5   5   7   7   7   8   8   8  
 4   4   3   3   1   1   1   2   2   2   3   4   2   2   2   1   1   1   0   0   0   0   0   0   3   3   4   4   3   3   3   3   2   2   1   1   1   1   2   2   3   3   3   4   4   5   5   4   3   2   2   3   3   4   4   4   4   5   5   6   6   3   3   3   3   3   4   6   6   7   7   6   6   5   5   5   5   5   6   6   6   7   8   8   8   7   7   7   6   6   5   5   5   5   7   7   7   8   8   8  
 7   7   6   6   4   4   4   3   3   3   2   1   5   5   5   4   4   4   3   3   3   3   3   3   0   0   7   7   6   6   6   6   5   5   4   4   4   4   3   3   2   2   2   1   1   8   8   7   6   5   5   4   4   3   3   3   3   2   2   9   9   6   6   6   6   6   5   3   3  10  10   9   9   8   8   8   8   6   5   5   5   4  11  11  11  10  10  10   9   9   8   8   8   8   6   6   6   5   5   5  
 7   7   6   6   4   4   4   3   3   3   2   1   5   5   5   4   4   4   3   3   3   3   3   3   0   0   7   7   6   6   6   6   5   5   4   4   4   4   3   3   2   2   2   1   1   8   8   7   6   5   5   4   4   3   3   3   3   2   2   9   9   6   6   6   6   6   5   3   3  10  10   9   9   8   8   8   8   6   5   5   5   4  11  11  11  10  10  10   9   9   8   8   8   8   6   6   6   5   5   5  
 2   2   3   3   5   5   5   6   6   6   7   8   2   2   2   3   3   3   4   4   4   4   4   4   7   7   0   0   1   1   1   1   2   2   3   3   3   3   4   4   5   5   5   6   6   1   1   2   3   4   4   5   5   6   6   6   6   7   7   2   2   5   5   5   5   5   6   8   8   3   3   4   4   5   5   5   5   7   8   8   8   9   4   4   4   5   5   5   6   6   7   7   7   7   9   9   9  10  10  10  
 2   2   3   3   5   5   5   6   6   6   7   8   2   2   2   3   3   3   4   4   4   4   4   4   7   7   0   0   1   1   1   1   2   2   3   3   3   3   4   4   5   5   5   6   6   1   1   2   3   4   4   5   5   6   6   6   6   7   7   2   2   5   5   5   5   5   6   8   8   3   3   4   4   5   5   5   5   7   8   8   8   9   4   4   4   5   5   5   6   6   7   7   7   7   9   9   9  10  10  10  
 3   3   2   2   4   4   4   5   5   5   6   7   1   1   1   2   2   2   3   3   3   3   3   3   6   6   1   1   0   0   0   0   1   1   2   2   2   2   3   3   4   4   4   5   5   2   2   1   2   3   3   4   4   5   5   5   5   6   6   3   3   4   4   4   4   4   5   7   7   4   4   3   3   4   4   4   4   6   7   7   7   8   5   5   5   4   4   4   5   5   6   6   6   6   8   8   8   9   9   9  
 3   3   2   2   4   4   4   5   5   5   6   7   1   1   1   2   2   2   3   3   3   3   3   3   6   6   1   1   0   0   0   0   1   1   2   2   2   2   3   3   4   4   4   5   5   2   2   1   2   3   3   4   4   5   5   5   5   6   6   3   3   4   4   4   4   4   5   7   7   4   4   3   3   4   4   4   4   6   7   7   7   8   5   5   5   4   4   4   5   5   6   6   6   6   8   8   8   9   9   9  
 3   3   2   2   4   4   4   5   5   5   6   7   1   1   1   2   2   2   3   3   3   3   3   3   6   6   1   1   0   0   0   0   1   1   2   2   2   2   3   3   4   4   4   5   5   2   2   1   2   3   3   4   4   5   5   5   5   6   6   3   3   4   4   4   4   4   5   7   7   4   4   3   3   4   4   4   4   6   7   7   7   8   5   5   5   4   4   4   5   5   6   6   6   6   8   8   8   9   9   9  
 3   3   2   2   4   4   4   5   5   5   6   7   1   1   1   2   2   2   3   3   3   3   3   3   6   6   1   1   0   0   0   0   1   1   2   2   2   2   3   3   4   4   4   5   5   2   2   1   2   3   3   4   4   5   5   5   5   6   6   3   3   4   4   4   4   4   5   7   7   4   4   3   3   4   4   4   4   6   7   7   7   8   5   5   5   4   4   4   5   5   6   6   6   6   8   8   8   9   9   9  
 4   4   3   3   3   3   3   4   4   4   5   6   2   2   2   1   1   1   2   2   2   2   2   2   5   5   2   2   1   1   1   1   0   0   1   1   1   1   2   2   3   3   3   4   4   3   3   2   1   2   2   3   3   4   4   4   4   5   5   4   4   3   3   3   3   3   4   6   6   5   5   4   4   3   3   3   3   5   6   6   6   7   6   6   6   5   5   5   4   4   5   5   5   5   7   7   7   8   8   8  
 4   4   3   3   3   3   3   4   4   4   5   6   2   2   2   1   1   1   2   2   2   2   2   2   5   5   2   2   1   1   1   1   0   0   1   1   1   1   2   2   3   3   3   4   4   3   3   2   1   2   2   3   3   4   4   4   4   5   5   4   4   3   3   3   3   3   4   6   6   5   5   4   4   3   3   3   3   5   6   6   6   7   6   6   6   5   5   5   4   4   5   5   5   5   7   7   7   8   8   8  
 5   5   4   4   2   2   2   3   3   3   4   5   3   3   3   2   2   2   1   1   1   1   1   1   4   4   3   3   2   2   2   2   1   1   0   0   0   0   1   1   2   2   2   3   3   4   4   3   2   1   1   2   2   3   3   3   3   4   4   5   5   2   2   2   2   2   3   5   5   6   6   5   5   4   4   4   4   4   5   5   5   6   7   7   7   6   6   6   5   5   4   4   4   4   6   6   6   7   7   7  
 5   5   4   4   2   2   2   3   3   3   4   5   3   3   3   2   2   2   1   1   1   1   1   1   4   4   3   3   2   2   2   2   1   1   0   0   0   0   1   1   2   2   2   3   3   4   4   3   2   1   1   2   2   3   3   3   3   4   4   5   5   2   2   2   2   2   3   5   5   6   6   5   5   4   4   4   4   4   5   5   5   6   7   7   7   6   6   6   5   5   4   4   4   4   6   6   6   7   7   7  
 5   5   4   4   2   2   2   3   3   3   4   5   3   3   3   2   2   2   1   1   1   1   1   1   4   4   3   3   2   2   2   2   1   1   0   0   0   0   1   1   2   2   2   3   3   4   4   3   2   1   1   2   2   3   3   3   3   4   4   5   5   2   2   2   2   2   3   5   5   6   6   5   5   4   4   4   4   4   5   5   5   6   7   7   7   6   6   6   5   5   4   4   4   4   6   6   6   7   7   7  
 5   5   4   4   2   2   2   3   3   3   4   5   3   3   3   2   2   2   1   1   1   1   1   1   4   4   3   3   2   2   2   2   1   1   0   0   0   0   1   1   2   2   2   3   3   4   4   3   2   1   1   2   2   3   3   3   3   4   4   5   5   2   2   2   2   2   3   5   5   6   6   5   5   4   4   4   4   4   5   5   5   6   7   7   7   6   6   6   5   5   4   4   4   4   6   6   6   7   7   7  
 6   6   5   5   3   3   3   2   2   2   3   4   4   4   4   3   3   3   2   2   2   2   2   2   3   3   4   4   3   3   3   3   2   2   1   1   1   1   0   0   1   1   1   2   2   5   5   4   3   2   2   1   1   2   2   2   2   3   3   6   6   3   3   3   3   3   2   4   4   7   7   6   6   5   5   5   5   3   4   4   4   5   8   8   8   7   7   7   6   6   5   5   5   5   5   5   5   6   6   6  
 6   6   5   5   3   3   3   2   2   2   3   4   4   4   4   3   3   3   2   2   2   2   2   2   3   3   4   4   3   3   3   3   2   2   1   1   1   1   0   0   1   1   1   2   2   5   5   4   3   2   2   1   1   2   2   2   2   3   3   6   6   3   3   3   3   3   2   4   4   7   7   6   6   5   5   5   5   3   4   4   4   5   8   8   8   7   7   7   6   6   5   5   5   5   5   5   5   6   6   6  
 7   7   6   6   4   4   4   3   3   3   2   3   5   5   5   4   4   4   3   3   3   3   3   3   2   2   5   5   4   4   4   4   3   3   2   2   2   2   1   1   0   0   0   1   1   6   6   5   4   3   3   2   2   1   1   1   1   2   2   7   7   4   4   4   4   4   3   3   3   8   8   7   7   6   6   6   6   4   3   3   3   4   9   9   9   8   8   8   7   7   6   6   6   6   4   4   4   5   5   5  
 7   7   6   6   4   4   4   3   3   3   2   3   5   5   5   4   4   4   3   3   3   3   3   3   2   2   5   5   4   4   4   4   3   3   2   2   2   2   1   1   0   0   0   1   1   6   6   5   4   3   3   2   2   1   1   1   1   2   2   7   7   4   4   4   4   4   3   3   3   8   8   7   7   6   6   6   6   4   3   3   3   4   9   9   9   8   8   8   7   7   6   6   6   6   4   4   4   5   5   5  
 7   7   6   6   4   4   4   3   3   3   2   3   5   5   5   4   4   4   3   3   3   3   3   3   2   2   5   5   4   4   4   4   3   3   2   2   2   2   1   1   0   0   0   1   1   6   6   5   4   3   3   2   2   1   1   1   1   2   2   7   7   4   4   4   4   4   3   3   3   8   8   7   7   6   6   6   6   4   3   3   3   4   9   9   9   8   8   8   7   7   6   6   6   6   4   4   4   5   5   5  
 8   8   7   7   5   5   5   4   4   4   3   2   6   6   6   5   5   5   4   4   4   4   4   4   1   1   6   6   5   5   5   5   4   4   3   3   3   3   2   2   1   1   1   0   0   7   7   6   5   4   4   3   3   2   2   2   2   1   1   8   8   5   5   5   5   5   4   2   2   9   9   8   8   7   7   7   7   5   4   4   4   3  10  10  10   9   9   9   8   8   7   7   7   7   5   5   5   4   4   4  
 8   8   7   7   5   5   5   4   4   4   3   2   6   6   6   5   5   5   4   4   4   4   4   4   1   1   6   6   5   5   5   5   4   4   3   3   3   3   2   2   1   1   1   0   0   7   7   6   5   4   4   3   3   2   2   2   2   1   1   8   8   5   5   5   5   5   4   2   2   9   9   8   8   7   7   7   7   5   4   4   4   3  10  10  10   9   9   9   8   8   7   7   7   7   5   5   5   4   4   4  
 3   3   4   4   6   6   6   7   7   7   8   9   3   3   3   4   4   4   5   5   5   5   5   5   8   8   1   1   2   2   2   2   3   3   4   4   4   4   5   5   6   6   6   7   7   0   0   1   2   3   3   4   4   5   5   5   5   6   6   1   1   4   4   4   4   4   5   7   7   2   2   3   3   4   4   4   4   6   7   7   7   8   3   3   3   4   4   4   5   5   6   6   6   6   8   8   8   9   9   9  
 3   3   4   4   6   6   6   7   7   7   8   9   3   3   3   4   4   4   5   5   5   5   5   5   8   8   1   1   2   2   2   2   3   3   4   4   4   4   5   5   6   6   6   7   7   0   0   1   2   3   3   4   4   5   5   5   5   6   6   1   1   4   4   4   4   4   5   7   7   2   2   3   3   4   4   4   4   6   7   7   7   8   3   3   3   4   4   4   5   5   6   6   6   6   8   8   8   9   9   9  
 4   4   3   3   5   5   5   6   6   6   7   8   2   2   2   3   3   3   4   4   4   4   4   4   7   7   2   2   1   1   1   1   2   2   3   3   3   3   4   4   5   5   5   6   6   1   1   0   1   2   2   3   3   4   4   4   4   5   5   2   2   3   3   3   3   3   4   6   6   3   3   2   2   3   3   3   3   5   6   6   6   7   4   4   4   3   3   3   4   4   5   5   5   5   7   7   7   8   8   8  
 5   5   4   4   4   4   4   5   5   5   6   7   3   3   3   2   2   2   3   3   3   3   3   3   6   6   3   3   2   2   2   2   1   1   2   2   2   2   3   3   4   4   4   5   5   2   2   1   0   1   1   2   2   3   3   3   3   4   4   3   3   2   2   2   2   2   3   5   5   4   4   3   3   2   2   2   2   4   5   5   5   6   5   5   5   4   4   4   3   3   4   4   4   4   6   6   6   7   7   7  
 6   6   5   5   3   3   3   4   4   4   5   6   4   4   4   3   3   3   2   2   2   2   2   2   5   5   4   4   3   3   3   3   2   2   1   1   1   1   2   2   3   3   3   4   4   3   3   2   1   0   0   1   1   2   2   2   2   3   3   4   4   1   1   1   1   1   2   4   4   5   5   4   4   3   3   3   3   3   4   4   4   5   6   6   6   5   5   5   4   4   3   3   3   3   5   5   5   6   6   6  
 6   6   5   5   3   3   3   4   4   4   5   6   4   4   4   3   3   3   2   2   2   2   2   2   5   5   4   4   3   3   3   3   2   2   1   1   1   1   2   2   3   3   3   4   4   3   3   2   1   0   0   1   1   2   2   2   2   3   3   4   4   1   1   1   1   1   2   4   4   5   5   4   4   3   3   3   3   3   4   4   4   5   6   6   6   5   5   5   4   4   3   3   3   3   5   5   5   6   6   6  
 7   7   6   6   4   4   4   3   3   3   4   5   5   5   5   4   4   4   3   3   3   3   3   3   4   4   5   5   4   4   4   4   3   3   2   2   2   2   1   1   2   2   2   3   3   4   4   3   2   1   1   0   0   1   1   1   1   2   2   5   5   2   2   2   2   2   1   3   3   6   6   5   5   4   4   4   4   2   3   3   3   4   7   7   7   6   6   6   5   5   4   4   4   4   4   4   4   5   5   5  
 7   7   6   6   4   4   4   3   3   3   4   5   5   5   5   4   4   4   3   3   3   3   3   3   4   4   5   5   4   4   4   4   3   3   2   2   2   2   1   1   2   2   2   3   3   4   4   3   2   1   1   0   0   1   1   1   1   2   2   5   5   2   2   2   2   2   1   3   3   6   6   5   5   4   4   4   4   2   3   3   3   4   7   7   7   6   6   6   5   5   4   4   4   4   4   4   4   5   5   5  
 8   8   7   7   5   5   5   4   4   4   3   4   6   6   6   5   5   5   4   4   4   4   4   4   3   3   6   6   5   5   5   5   4   4   3   3   3   3   2   2   1   1   1   2   2   5   5   4   3   2   2   1   1   0   0   0   0   1   1   6   6   3   3   3   3   3   2   2   2   7   7   6   6   5   5   5   5   3   2   2   2   3   8   8   8   7   7   7   6   6   5   5   5   5   3   3   3   4   4   4  
 8   8   7   7   5   5   5   4   4   4   3   4   6   6   6   5   5   5   4   4   4   4   4   4   3   3   6   6   5   5   5   5   4   4   3   3   3   3   2   2   1   1   1   2   2   5   5   4   3   2   2   1   1   0   0   0   0   1   1   6   6   3   3   3   3   3   2   2   2   7   7   6   6   5   5   5   5   3   2   2   2   3   8   8   8   7   7   7   6   6   5   5   5   5   3   3   3   4   4   4  
 8   8   7   7   5   5   5   4   4   4   3   4   6   6   6   5   5   5   4   4   4   4   4   4   3   3   6   6   5   5   5   5   4   4   3   3   3   3   2   2   1   1   1   2   2   5   5   4   3   2   2   1   1   0   0   0   0   1   1   6   6   3   3   3   3   3   2   2   2   7   7   6   6   5   5   5   5   3   2   2   2   3   8   8   8   7   7   7   6   6   5   5   5   5   3   3   3   4   4   4  
 8   8   7   7   5   5   5   4   4   4   3   4   6   6   6   5   5   5   4   4   4   4   4   4   3   3   6   6   5   5   5   5   4   4   3   3   3   3   2   2   1   1   1   2   2   5   5   4   3   2   2   1   1   0   0   0   0   1   1   6   6   3   3   3   3   3   2   2   2   7   7   6   6   5   5   5   5   3   2   2   2   3   8   8   8   7   7   7   6   6   5   5   5   5   3   3   3   4   4   4  
 9   9   8   8   6   6   6   5   5   5   4   3   7   7   7   6   6   6   5   5   5   5   5   5   2   2   7   7   6   6   6   6   5   5   4   4   4   4   3   3   2   2   2   1   1   6   6   5   4   3   3   2   2   1   1   1   1   0   0   7   7   4   4   4   4   4   3   1   1   8   8   7   7   6   6   6   6   4   3   3   3   2   9   9   9   8   8   8   7   7   6   6   6   6   4   4   4   3   3   3  
 9   9   8   8   6   6   6   5   5   5   4   3   7   7   7   6   6   6   5   5   5   5   5   5   2   2   7   7   6   6   6   6   5   5   4   4   4   4   3   3   2   2   2   1   1   6   6   5   4   3   3   2   2   1   1   1   1   0   0   7   7   4   4   4   4   4   3   1   1   8   8   7   7   6   6   6   6   4   3   3   3   2   9   9   9   8   8   8   7   7   6   6   6   6   4   4   4   3   3   3  
 4   4   5   5   7   7   7   8   8   8   9  10   4   4   4   5   5   5   6   6   6   6   6   6   9   9   2   2   3   3   3   3   4   4   5   5   5   5   6   6   7   7   7   8   8   1   1   2   3   4   4   5   5   6   6   6   6   7   7   0   0   3   3   3   3   3   4   6   6   1   1   2   2   3   3   3   3   5   6   6   6   7   2   2   2   3   3   3   4   4   5   5   5   5   7   7   7   8   8   8  
 4   4   5   5   7   7   7   8   8   8   9  10   4   4   4   5   5   5   6   6   6   6   6   6   9   9   2   2   3   3   3   3   4   4   5   5   5   5   6   6   7   7   7   8   8   1   1   2   3   4   4   5   5   6   6   6   6   7   7   0   0   3   3   3   3   3   4   6   6   1   1   2   2   3   3   3   3   5   6   6   6   7   2   2   2   3   3   3   4   4   5   5   5   5   7   7   7   8   8   8  
 7   7   6   6   4   4   4   5   5   5   6   7   5   5   5   4   4   4   3   3   3   3   3   3   6   6   5   5   4   4   4   4   3   3   2   2   2   2   3   3   4   4   4   5   5   4   4   3   2   1   1   2   2   3   3   3   3   4   4   3   3   0   0   0   0   0   1   3   3   4   4   3   3   2   2   2   2   2   3   3   3   4   5   5   5   4   4   4   3   3   2   2   2   2   4   4   4   5   5   5  
 7   7   6   6   4   4   4   5   5   5   6   7   5   5   5   4   4   4   3   3   3   3   3   3   6   6   5   5   4   4   4   4   3   3   2   2   2   2   3   3   4   4   4   5   5   4   4   3   2   1   1   2   2   3   3   3   3   4   4   3   3   0   0   0   0   0   1   3   3   4   4   3   3   2   2   2   2   2   3   3   3   4   5   5   5   4   4   4   3   3   2   2   2   2   4   4   4   5   5   5  
 7   7   6   6   4   4   4   5   5   5   6   7   5   5   5   4   4   4   3   3   3   3   3   3   6   6   5   5   4   4   4   4   3   3   2   2   2   2   3   3   4   4   4   5   5   4   4   3   2   1   1   2   2   3   3   3   3   4   4   3   3   0   0   0   0   0   1   3   3   4   4   3   3   2   2   2   2   2   3   3   3   4   5   5   5   4   4   4   3   3   2   2   2   2   4   4   4   5   5   5  
 7   7   6   6   4   4   4   5   5   5   6   7   5   5   5   4   4   4   3   3   3   3   3   3   6   6   5   5   4   4   4   4   3   3   2   2   2   2   3   3   4   4   4   5   5   4   4   3   2   1   1   2   2   3   3   3   3   4   4   3   3   0   0   0   0   0   1   3   3   4   4   3   3   2   2   2   2   2   3   3   3   4   5   5   5   4   4   4   3   3   2   2   2   2   4   4   4   5   5   5  
 7   7   6   6   4   4   4   5   5   5   6   7   5   5   5   4   4   4   3   3   3   3   3   3   6   6   5   5   4   4   4   4   3   3   2   2   2   2   3   3   4   4   4   5   5   4   4   3   2   1   1   2   2   3   3   3   3   4   4   3   3   0   0   0   0   0   1   3   3   4   4   3   3   2   2   2   2   2   3   3   3   4   5   5   5   4   4   4   3   3   2   2   2   2   4   4   4   5   5   5  
 8   8   7   7   5   5   5   4   4   4   5   6   6   6   6   5   5   5   4   4   4   4   4   4   5   5   6   6   5   5   5   5   4   4   3   3   3   3   2   2   3   3   3   4   4   5   5   4   3   2   2   1   1   2   2   2   2   3   3   4   4   1   1   1   1   1   0   2   2   5   5   4   4   3   3   3   3   1   2   2   2   3   6   6   6   5   5   5   4   4   3   3   3   3   3   3   3   4   4   4  
10  10   9   9   7   7   7   6   6   6   5   4   8   8   8   7   7   7   6   6   6   6   6   6   3   3   8   8   7   7   7   7   6   6   5   5   5   5   4   4   3   3   3   2   2   7   7   6   5   4   4   3   3   2   2   2   2   1   1   6   6   3   3   3   3   3   2   0   0   7   7   6   6   5   5   5   5   3   2   2   2   1   8   8   8   7   7   7   6   6   5   5   5   5   3   3   3   2   2   2  
10  10   9   9   7   7   7   6   6   6   5   4   8   8   8   7   7   7   6   6   6   6   6   6   3   3   8   8   7   7   7   7   6   6   5   5   5   5   4   4   3   3   3   2   2   7   7   6   5   4   4   3   3   2   2   2   2   1   1   6   6   3   3   3   3   3   2   0   0   7   7   6   6   5   5   5   5   3   2   2   2   1   8   8   8   7   7   7   6   6   5   5   5   5   3   3   3   2   2   2  
